,token_id,type
0,0,Female
1,1,Male
2,2,Female
3,3,Male
4,4,Male
5,5,Female
6,6,Male
7,7,Female
8,8,Male
9,9,Male
10,10,Female
11,11,Female
12,12,Female
13,13,Female
14,14,Female
15,15,Male
16,16,Male
17,17,Male
18,18,Male
19,19,Female
20,20,Male
21,21,Male
22,22,Female
23,23,Male
24,24,Male
25,25,Female
26,26,Female
27,27,Male
28,28,Male
29,29,Female
30,30,Male
31,31,Female
32,32,Male
33,33,Male
34,34,Female
35,35,Male
36,36,Female
37,37,Female
38,38,Female
39,39,Male
40,40,Male
41,41,Male
42,42,Female
43,43,Female
44,44,Male
45,45,Male
46,46,Female
47,47,Male
48,48,Male
49,49,Female
50,50,Male
51,51,Male
52,52,Male
53,53,Female
54,54,Male
55,55,Male
56,56,Male
57,57,Male
58,58,Male
59,59,Male
60,60,Female
61,61,Female
62,62,Female
63,63,Male
64,64,Female
65,65,Female
66,66,Female
67,67,Female
68,68,Male
69,69,Male
70,70,Female
71,71,Female
72,72,Male
73,73,Female
74,74,Male
75,75,Male
76,76,Male
77,77,Male
78,78,Male
79,79,Male
80,80,Male
81,81,Male
82,82,Male
83,83,Male
84,84,Male
85,85,Female
86,86,Female
87,87,Male
88,88,Female
89,89,Female
90,90,Male
91,91,Female
92,92,Female
93,93,Female
94,94,Female
95,95,Male
96,96,Female
97,97,Male
98,98,Female
99,99,Male
100,100,Female
101,101,Male
102,102,Male
103,103,Female
104,104,Male
105,105,Male
106,106,Female
107,107,Male
108,108,Female
109,109,Male
110,110,Female
111,111,Male
112,112,Male
113,113,Male
114,114,Female
115,115,Female
116,116,Female
117,117,Zombie
118,118,Female
119,119,Male
120,120,Female
121,121,Female
122,122,Male
123,123,Female
124,124,Male
125,125,Female
126,126,Male
127,127,Female
128,128,Male
129,129,Male
130,130,Male
131,131,Female
132,132,Male
133,133,Male
134,134,Male
135,135,Male
136,136,Male
137,137,Male
138,138,Male
139,139,Male
140,140,Female
141,141,Male
142,142,Male
143,143,Male
144,144,Male
145,145,Male
146,146,Male
147,147,Male
148,148,Male
149,149,Male
150,150,Female
151,151,Male
152,152,Male
153,153,Male
154,154,Male
155,155,Male
156,156,Male
157,157,Male
158,158,Male
159,159,Male
160,160,Female
161,161,Female
162,162,Male
163,163,Male
164,164,Female
165,165,Male
166,166,Male
167,167,Female
168,168,Female
169,169,Female
170,170,Male
171,171,Male
172,172,Female
173,173,Female
174,174,Male
175,175,Male
176,176,Female
177,177,Male
178,178,Male
179,179,Male
180,180,Female
181,181,Male
182,182,Male
183,183,Male
184,184,Female
185,185,Female
186,186,Male
187,187,Female
188,188,Male
189,189,Female
190,190,Male
191,191,Female
192,192,Male
193,193,Female
194,194,Male
195,195,Female
196,196,Female
197,197,Male
198,198,Male
199,199,Female
200,200,Female
201,201,Female
202,202,Female
203,203,Male
204,204,Male
205,205,Male
206,206,Male
207,207,Male
208,208,Male
209,209,Female
210,210,Female
211,211,Male
212,212,Female
213,213,Female
214,214,Male
215,215,Female
216,216,Male
217,217,Male
218,218,Male
219,219,Female
220,220,Male
221,221,Male
222,222,Male
223,223,Male
224,224,Male
225,225,Female
226,226,Female
227,227,Female
228,228,Male
229,229,Male
230,230,Male
231,231,Female
232,232,Female
233,233,Female
234,234,Male
235,235,Male
236,236,Male
237,237,Male
238,238,Female
239,239,Male
240,240,Female
241,241,Female
242,242,Female
243,243,Male
244,244,Female
245,245,Female
246,246,Male
247,247,Female
248,248,Female
249,249,Female
250,250,Female
251,251,Female
252,252,Male
253,253,Female
254,254,Male
255,255,Male
256,256,Male
257,257,Male
258,258,Male
259,259,Male
260,260,Male
261,261,Female
262,262,Female
263,263,Male
264,264,Female
265,265,Male
266,266,Male
267,267,Male
268,268,Female
269,269,Male
270,270,Female
271,271,Male
272,272,Male
273,273,Male
274,274,Male
275,275,Female
276,276,Female
277,277,Female
278,278,Female
279,279,Female
280,280,Male
281,281,Male
282,282,Female
283,283,Female
284,284,Male
285,285,Female
286,286,Male
287,287,Female
288,288,Male
289,289,Female
290,290,Female
291,291,Male
292,292,Female
293,293,Male
294,294,Male
295,295,Male
296,296,Male
297,297,Male
298,298,Female
299,299,Male
300,300,Male
301,301,Female
302,302,Female
303,303,Female
304,304,Male
305,305,Female
306,306,Female
307,307,Male
308,308,Male
309,309,Male
310,310,Male
311,311,Male
312,312,Male
313,313,Female
314,314,Male
315,315,Female
316,316,Female
317,317,Male
318,318,Female
319,319,Female
320,320,Male
321,321,Male
322,322,Female
323,323,Male
324,324,Female
325,325,Male
326,326,Female
327,327,Male
328,328,Male
329,329,Female
330,330,Male
331,331,Female
332,332,Male
333,333,Female
334,334,Male
335,335,Male
336,336,Male
337,337,Male
338,338,Male
339,339,Female
340,340,Male
341,341,Female
342,342,Female
343,343,Male
344,344,Male
345,345,Female
346,346,Male
347,347,Male
348,348,Female
349,349,Male
350,350,Female
351,351,Male
352,352,Female
353,353,Female
354,354,Male
355,355,Female
356,356,Male
357,357,Female
358,358,Male
359,359,Female
360,360,Male
361,361,Male
362,362,Male
363,363,Male
364,364,Male
365,365,Male
366,366,Male
367,367,Male
368,368,Female
369,369,Male
370,370,Male
371,371,Female
372,372,Ape
373,373,Male
374,374,Female
375,375,Female
376,376,Female
377,377,Male
378,378,Female
379,379,Female
380,380,Female
381,381,Female
382,382,Female
383,383,Female
384,384,Female
385,385,Female
386,386,Male
387,387,Male
388,388,Female
389,389,Male
390,390,Female
391,391,Female
392,392,Male
393,393,Male
394,394,Female
395,395,Male
396,396,Female
397,397,Male
398,398,Male
399,399,Male
400,400,Female
401,401,Male
402,402,Male
403,403,Male
404,404,Female
405,405,Female
406,406,Male
407,407,Female
408,408,Male
409,409,Female
410,410,Male
411,411,Female
412,412,Male
413,413,Female
414,414,Male
415,415,Male
416,416,Male
417,417,Female
418,418,Female
419,419,Female
420,420,Male
421,421,Male
422,422,Female
423,423,Male
424,424,Male
425,425,Female
426,426,Male
427,427,Female
428,428,Female
429,429,Male
430,430,Female
431,431,Female
432,432,Male
433,433,Male
434,434,Male
435,435,Male
436,436,Male
437,437,Male
438,438,Female
439,439,Male
440,440,Female
441,441,Male
442,442,Male
443,443,Female
444,444,Male
445,445,Female
446,446,Female
447,447,Male
448,448,Male
449,449,Female
450,450,Male
451,451,Male
452,452,Male
453,453,Male
454,454,Male
455,455,Male
456,456,Male
457,457,Male
458,458,Male
459,459,Male
460,460,Female
461,461,Male
462,462,Male
463,463,Male
464,464,Female
465,465,Male
466,466,Female
467,467,Male
468,468,Male
469,469,Female
470,470,Male
471,471,Female
472,472,Male
473,473,Female
474,474,Female
475,475,Female
476,476,Male
477,477,Female
478,478,Male
479,479,Female
480,480,Male
481,481,Female
482,482,Female
483,483,Male
484,484,Male
485,485,Male
486,486,Female
487,487,Male
488,488,Female
489,489,Male
490,490,Female
491,491,Female
492,492,Male
493,493,Female
494,494,Male
495,495,Male
496,496,Male
497,497,Male
498,498,Female
499,499,Female
500,500,Female
501,501,Female
